S.No.,Registration No.,Type,Hired/Purchased,Last Status Date,Last Status Date -,Last Status,Customer,Status,Capacity,Cost Center,Last Trip End Date,Current Trip Start Date,Idle Time,Origin,Destination,Current Loc
1,JQ 1530,Prime Mover,hired,$2024-01-17,2024-01-17,Out Going,PAF,,-,2PDU,7/5/2023,0:00,195,Attock Oil Refinery Limited,PAF Base Skardu (Qadri),-
2,JQ 1532,Prime Mover,hired,$2024-01-17,2024-01-17,Out Going,PAF,,-,2PDU,-,0:00,0,Attock Oil Refinery Limited,PAF Base Skardu (Qadri),-
3,JQ 1407,Prime Mover,purchased,$2024-01-18,2024-01-18,On way back,PAF,,52000,2PDU,7/5/2023,0:00,196,Attock Oil Refinery Limited,PAF Base Nur Khan NRK,"Rawat, Rawalpindi Saddar Tehsil, Rawalpindi District, Rawalpindi Division, Punjab, 45900, Pakistan"
4,JQ 1409,Prime Mover,purchased,$2024-01-18,2024-01-18,Decanting,PAF,,56000,2PDU,7/5/2023,0:00,196,Attock Oil Refinery Limited,PAF Base Minhas MHS,"Rawat, Rawalpindi Saddar Tehsil, Rawalpindi District, Rawalpindi Division, Punjab, 45900, Pakistan"
5,TMK 036,Prime Mover,purchased,$2024-01-01,2024-01-01,Decanting,SPD,,52000,LQC,7/3/2023,0:00,182,Pano Aqil,Kashmore Cantt.,"Dera Ghazi Khan Division, Punjab, Pakistan"
6,TMK 140,Prime Mover,purchased,$2024-01-18,2024-01-18,Out Going,PAF,,52000,3PDU,7/5/2023,0:00,196,PAK ARAB REFINERY LTD (PARCO),PAF Base Shahbaz SBZ,"Khair Muhammad Sanjrani, Shikarpur Taluka, Shikarpur District, Larkana Division, Sindh, Pakistan"
7,JQ 1414,Prime Mover,purchased,$2024-01-18,2024-01-18,On way back,PAF,,56000,2PDU,7/21/2023,0:00,180,Attock Oil Refinery Limited,PAF Base Nur Khan NRK,"DHA Phase 2, Rawat, Rawalpindi Saddar Tehsil, Rawalpindi District, Rawalpindi Division, Punjab, 45900, Pakistan"
8,TMK 141,Prime Mover,purchased,$2024-01-18,2024-01-18,Out Going,PAF,,48000,3PDU,7/8/2023,0:00,193,PAF Base Shahbaz SBZ,PAF Base Bholari BLR,"Thatta District, Sindh, Pakistan"
9,TMK 143,Prime Mover,purchased,$2024-01-18,2024-01-18,Waiting in queue,Colgate,,48000,LQC,7/6/2023,0:00,196,Karachi Terminal Kemari,Kotri,"Mauripur Town, Keamari District, Karachi Division, Sindh, 75790, Pakistan"
10,JQ 1491,Prime Mover,purchased,$2024-01-17,2024-01-17,On way back,Mohsin Enterprises,,48000,LQC,7/6/2023,0:00,184,Karachi Terminal Kemari,Tarujabba Depot,"Kot Addu District, Dera Ghazi Khan Division, Punjab, Pakistan"
